Iniciativa;Dia/Semana;Data Inicial;Data Final;Principal usuario;Mencao inicial;Assunto;Impacto;Titulos;Posts;Usuarios;Alcance Potencial;RTs;Posts/Dia;Sent. Positivo;Sent. Negativo;Sent. Neutro;Duracao;Atualizacoes
Gauge;Quarta;2020-01-29;2020-01-30;NA;NA;Institucional;Baixo;ALERTA 07630/20: (Baixo) Usuários retomam declaração do presidente do Itaú sobre o desemprego;43;43;49932;38;22;NA;NA;NA;2;1
Gauge;Terça;2020-01-21;2020-01-21;Pato Corporation;https://twitter.com/PatoCorporation/status/1219704771478683649;Relações Políticas;Baixo;ALERTA 08621/20: (Baixo) Pato Corporation associa Itaú a destruição ambiental e cita Paulo Guedes;42;42;108855;41;42;NA;NA;NA;1;0
Gauge;Segunda;2020-01-20;2020-01-21;NA;NA;Institucional;Baixo;ALERTA 07619/20: (Baixo) Bank of America rebaixa as ações dos bancos Itaú e Bradesco;32;30;2517599;16;16;NA;NA;NA;2;1
Gauge;Segunda;2020-01-27;2020-01-29;NA;NA;Relações Políticas;Baixo;ALERTA 08628/20: (Baixo) Itaú é citado em suposta lista de delação premiada de Eike Batista;27;24;93480;19;9;NA;NA;NA;3;2
Gauge;Quarta;2020-01-15;2020-01-16;NA;NA;Institucional;Baixo;ALERTA 07613/20: (Baixo) Itaú e o suposto envolvimento com o caso da Chapecoense;18;16;66682;14;9;NA;NA;NA;2;2
Gauge;Terça;2020-01-07;2020-01-08;NA;NA;Produtos e Serviços;Baixo;ALERTA 06608/20: (Baixo) A jornalista Marina Rossi faz reclamação sobre o Itaú;17;9;29132;4;17;NA;NA;NA;2;1
Gauge;Quinta;2020-01-16;2020-01-19;NA;NA;Relações Trabalhistas;Baixo;ALERTA 12615/19 (Baixo): Impacto sobre o fechamento de agências segundo o Safra;16;14;46138;8;4;NA;NA;NA;4;1
Gauge;Segunda;2020-01-20;2020-01-20;NA;NA;Agência;Baixo;ALERTA 11620/20: (Baixo) Dois cachorros ficam presos em agência no interior de SP;14;14;12398;12;14;NA;NA;NA;1;0
Gauge;Quinta;2020-01-16;2020-01-18;NA;NA;Institucional;Baixo;ALERTA 07617/20: (Baixo) Repercussão sobre o pouso forçado no prédio do Itaú BBA;10;10;3927;1;3;NA;NA;NA;3;1
Gauge;Quinta;2020-01-30;2020-01-30;Jurandir Cravieiro;https://twitter.com/juracraveiro/status/1222938437692555264;Fraude e Vazamento;Baixo;ALERTA 01631/20: (Baixo) Influenciador relata tentativa de golpe com seu talão de cheque;3;1;14458;0;3;NA;NA;NA;1;0
Gauge;Sexta;2020-01-03;2020-01-03;Jefferson Souza;https://twitter.com/jeffinSIlvaa/status/1213224462017073158;Diversidade;Baixo;ALERTA 02602/20: (Baixo) Homem cita ter sofrido racismo ao lado do Itaú;1;1;81;0;1;NA;NA;NA;1;0
Gauge;Quarta;2020-01-08;2020-01-08;Renato Camargo;https://twitter.com/renatocamargo/status/1215023353737691139;Diversidade;Baixo;ALERTA 02609/20: (Baixo) Usuário alega racismo em campanhas do Itaú;1;1;984;0;1;NA;NA;NA;1;0
Gauge;Quinta;2020-01-30;2020-02-28;NA;NA;Diversidade;Extremo;ALERTA 02632/20: (Extremo) Influenciadora acusa Itaú de suposto racismo;197897;111382;302098282;156033;6597;NA;1;NA;30;80
Gauge;Segunda;2020-02-10;2020-02-24;NA;NA;Institucional;Extremo;ALERTA 07641/20: (Extremo) Repercussão sobre a divulgação dos resultados do 4° trimestre;17159;12977;54699298;16237;1144;NA;1;0;15;20
Gauge;Quarta;2020-02-12;2020-02-16;NA;NA;Relações Trabalhistas;Extremo;ALERTA 12643/19 (Extremo): Internautas denunciam conduta de funcionária após divulgação de vídeo;1137;903;1384219;696;227;NA;1;NA;5;5
Gauge;Domingo;2020-02-02;2020-02-10;NA;NA;Institucional;Alto;ALERTA 07636/20: (ALTO) Internautas insinuam que Itaú e Ambev estejam invadindo terras indígenas;887;763;1663619;792;99;NA;1;NA;9;9
Gauge;Domingo;2020-02-09;2020-02-10;NA;NA;Institucional;Extremo;ALERTA 07640/20: (Extremo) Instituto Alana é criticado após postagem de Sergio Moro;771;762;973828;761;386;NA;1;NA;2;1
Gauge;Quinta;2020-02-20;2020-02-24;NA;NA;Relações Políticas;Alto;ALERTA 08649/20: (ALTO) Suposta dívida do Itaú com o INSS;555;515;807480;541;111;NA;1;NA;5;1
Gauge;Terça;2020-02-11;2020-02-22;NA;NA;Relações Trabalhistas;Moderado;ALERTA 12642/19 (Moderado): Internautas retomam o fechamento de agências do Itaú;334;324;4106947;279;28;NA;NA;NA;12;9
Gauge;Terça;2020-02-18;2020-02-21;NA;NA;Relações Políticas;Alto;ALERTA 08646/20: (ALTO) Internautas estão relacionando discurso de Bolsonaro com Itaú;327;311;537080;325;82;NA;NA;NA;4;3
Gauge;Segunda;2020-02-17;2020-02-24;NA;NA;Relações Políticas;Moderado;ALERTA 08645/20: (Moderado) Suposto empréstimo ao BNDES volta a repercutir;257;256;982107;251;32;NA;NA;NA;8;4
Gauge;Sexta;2020-02-21;2020-02-24;NA;NA;Institucional;Moderado;ALERTA 07648/20: (Moderado) Itaú e Ambev são associados em possível invasão em terra indígena;200;191;304061;193;50;NA;NA;NA;4;3
Gauge;Sexta;2020-02-07;2020-02-09;NA;NA;Relações Políticas;Moderado;ALERTA 08639/20: (Moderado) Influenciador volta a questionar as movimentações bancárias de Flávio Bolsonaro;152;152;320140;150;51;NA;NA;NA;3;3
Gauge;Segunda;2020-02-03;2020-02-07;NA;NA;Relações Políticas;Moderado;ALERTA 08633/20: (Moderado) Retomam notícia sobre possível recebimento de dividendos;119;118;156569;113;24;NA;NA;NA;5;2
Gauge;Quinta;2020-02-06;2020-02-08;NA;NA;Relações Políticas;Moderado;ALERTA 08638/20: (Moderado) Relator de CPI acusa Itaú de pedir cassação de seu mandato;75;75;225466;73;25;NA;NA;NA;3;1
Gauge;Quarta;2020-02-05;2020-02-08;NA;NA;Institucional;Baixo;ALERTA 07637/20: (Baixo) Cade rejeita recurso de Itaú e Rede;61;51;10887258;13;15;NA;NA;NA;4;3
Gauge;Quinta;2020-02-20;2020-02-20;NA;NA;Instabilidade;Baixo;ALERTA 10647/20: (Baixo) Usuários relatam instabilidade no Itaú Empresas;22;19;15850;1;22;NA;NA;NA;1;1
Gauge;Terça;2020-02-04;2020-02-04;NA;NA;Produtos e Serviços;Baixo;ALERTA 06635/20: (Baixo) GordoGeek critica Itaú ao não conseguir cadastro do cartão em aplicativo;11;6;43674;1;11;NA;NA;NA;1;0
